中央频道,#genre#
河北经济生活,http://121.19.134.13:808/tsfile/live/1000_1.m3u8
河北都市,http://121.19.134.13:808/tsfile/live/1001_1.m3u8
河北都市,http://121.19.134.142:808/tsfile/live/1001_1.m3u8
浙江少儿,http://124.90.208.196:9901/tsfile/live/0143_1.m3u8
浙江浙江科教影视,http://123.154.30.252:9901/tsfile/live/1005_1.m3u8
浙江浙江经济生活,http://123.154.30.252:9901/tsfile/live/1004_1.m3u8
浙江钱江,http://123.154.30.252:9901/tsfile/live/1003_1.m3u8
湖南快乐垂钓,http://121.19.134.142:808/tsfile/live/1042_1.m3u8
湖南金鹰卡通,http://171.108.239.73:8181/tsfile/live/1049_1.m3u8
湖南金鹰卡通,http://171.108.239.74:8181/tsfile/live/1049_1.m3u8
湖南金鹰卡通,http://171.108.239.77:8181/tsfile/live/1049_1.m3u8
湖南金鹰卡通,http://171.108.239.76:8181/tsfile/live/1049_1.m3u8
湖南金鹰纪实,http://171.108.239.82:8181/tsfile/live/1021_1.m3u8
湖南金鹰纪实,http://121.19.134.13:808/tsfile/live/1037_1.m3u8
湖南金鹰纪实,http://121.19.134.142:808/tsfile/live/1028_1.m3u8
私人影院,http://171.108.239.73:8181/tsfile/live/1014_1.m3u8
私人影院,http://171.108.239.77:8181/tsfile/live/1014_1.m3u8
私人影院,http://171.108.239.76:8181/tsfile/live/1014_1.m3u8
私人影院,http://171.108.239.74:8181/tsfile/live/1014_1.m3u8
莲花台,http://171.108.239.73:8181/tsfile/live/1025_1.m3u8
莲花台,http://171.108.239.74:8181/tsfile/live/1025_1.m3u8
莲花台,http://171.108.239.77:8181/tsfile/live/1025_1.m3u8
莲花台,http://171.108.239.76:8181/tsfile/live/1025_1.m3u8
龙祥电影,http://171.108.239.73:8181/tsfile/live/1011_1.m3u8
龙祥电影,http://171.108.239.74:8181/tsfile/live/1011_1.m3u8
龙祥电影,http://171.108.239.76:8181/tsfile/live/1011_1.m3u8
龙祥电影,http://171.108.239.77:8181/tsfile/live/1011_1.m3u8
